,중분류,소분류,도서명,판매지수,가격,출판일,링크
144,모바일 프로그래밍,안드로이드폰,Do it! 안드로이드 앱 프로그래밍,"26,736","36,000",정재곤 저 | 이지스퍼블리싱 | 2020년 01월,http://www.yes24.com/Product/Goods/87609520
145,컴퓨터 공학,자료구조/알고리즘,알고리즘 문제 해결 전략 세트,"25,122","45,000",구종만 저 | 인사이트(insight) | 2012년 11월,http://www.yes24.com/Product/Goods/8006522
146,컴퓨터 입문/활용,어른을 위한 컴퓨터,Do it! 파이썬 생활 프로그래밍,"20,901","18,000",김창현 저 | 이지스퍼블리싱 | 2020년 07월,http://www.yes24.com/Product/Goods/91437485
147,그래픽/디자인/멀티미디어,일러스트레이터,일러스트레이터 CC 2021 무작정 따라하기,"3,972","21,600","문수민,이상호,앤미디어 저 | 길벗 | 2021년 01월",http://www.yes24.com/Product/Goods/96519228
148,그래픽/디자인/멀티미디어,AUTOCAD,Do it! 오토캐드 2021,"12,312","22,500",박한울 저 | 이지스퍼블리싱 | 2020년 05월,http://www.yes24.com/Product/Goods/90445190
149,컴퓨터 공학,컴퓨터 교육,스크래치로 배우는  컴퓨팅 사고와 문제해결,"7,596","24,000","천인국,이화민 저 | 인피니티북스 | 2019년 02월",http://www.yes24.com/Product/Goods/70748952
150,프로그래밍 언어,자바,Power JAVA Compact ,"5,328","27,000",천인국 저 | 인피니티북스 | 2018년 02월,http://www.yes24.com/Product/Goods/59190885
151,네트워크/해킹/보안,네트워크 일반,후니의 쉽게 쓴 시스코 네트워킹,"13,629","36,000",진강훈 저 | 성안당 | 2020년 03월,http://www.yes24.com/Product/Goods/89520426
152,OS/데이터베이스,클라우드/빅데이터,파이썬 머신러닝 완벽 가이드,"28,023","34,200",권철민 저 | 위키북스 | 2020년 02월,http://www.yes24.com/Product/Goods/87044746
153,프로그래밍 언어,파이썬,창의적 컴퓨팅,"3,258","16,000",한양대학교 소프트웨어교육위원회 저 | 한양대학교출판부 | 2021년 02월,http://www.yes24.com/Product/Goods/97584878
154,자연과학 계열,수학,프리드버그 선형대수학,"10,425","35,000","스티븐 H. 프리드버그,아놀드 J. 인셀,로렌스 E. 스펜스 저/심형보 감수 | 한빛아카데미 | 2020년 06월",http://www.yes24.com/Product/Goods/90460407
155,컴퓨터 공학,컴퓨터 교육,컴퓨팅 기술(IT)과 컴퓨팅 사고(CT)력,"3,672","27,000",김정중 저 | 연두에디션 | 2019년 09월,http://www.yes24.com/Product/Goods/89510595
156,인터넷 비즈니스,인터넷 마케팅,된다! 김메주의 유튜브 영상 만들기,"26,346","14,400",김혜주 저 | 이지스퍼블리싱 | 2019년 12월,http://www.yes24.com/Product/Goods/84938935
157,공학계열,컴퓨터공학,Mano의 컴퓨터시스템구조,"6,144","33,000",M. Morris Mano 저 / 김종상 역 | 프로텍미디어 | 2017년 01월,http://www.yes24.com/Product/Goods/35405678
158,컴퓨터 공학,컴퓨터 교육,인터넷 윤리,"3,420","22,000","최희식,김상균 공저 | 한빛아카데미 | 2016년 08월",http://www.yes24.com/Product/Goods/30734926
159,프로그래밍 언어,파이썬,Python으로 시작하는 빅데이터분석 및 인공지능,"2,526","26,000",조준모 저 | 인피니티북스 | 2021년 02월,http://www.yes24.com/Product/Goods/97697238
160,그래픽/디자인/멀티미디어,포토샵,맛있는 디자인 포토샵 CC 2021,"2,970","18,900","윤이사라,김신애 공저 | 한빛미디어 | 2021년 03월",http://www.yes24.com/Product/Goods/97666918
161,프로그래밍 언어,프로그래밍 언어 기타,예제를 따라하며 실습으로 익히는 Visual Basic Programming,"2,544","20,000",이영교 저 | 북스홀릭퍼블리싱 | 2021년 02월,http://www.yes24.com/Product/Goods/97141654
162,웹사이트,HTML/JavaScript/CSS/jQuery,혼자 공부하는 자바스크립트,"7,866","21,600",윤인성 저 | 한빛미디어 | 2021년 01월,http://www.yes24.com/Product/Goods/96234546
163,그래픽/디자인/멀티미디어,AUTOCAD,회사에서 바로 통하는 오토캐드 AUTOCAD 2021,"9,021","25,200",심미현 저 | 한빛미디어 | 2020년 08월,http://www.yes24.com/Product/Goods/91353253
164,프로그래밍 언어,Visual C++,쉽게 배우는 MFC 윈도우 프로그래밍 ,"4,890","30,000","김선우,신화선 저 | 한빛아카데미 | 2020년 06월",http://www.yes24.com/Product/Goods/90686889
165,컴퓨터 공학,소프트웨어 공학,"팀 개발을 위한 Git, GitHub 시작하기","15,540","16,200","정호영,진유림 저 | 한빛미디어 | 2020년 01월",http://www.yes24.com/Product/Goods/85382769
166,컴퓨터 공학,자료구조/알고리즘,알고리즘 기초,"3,582","37,000",Richard E. Neapolitan 저 / 도경구 역 | 홍릉과학출판사 | 2017년 02월,http://www.yes24.com/Product/Goods/37582683
167,프로그래밍 언어,C,명품 C언어 프로그래밍,"3,750","27,000",안기수 저 | 생능출판사 | 2013년 02월,http://www.yes24.com/Product/Goods/8598905
168,프로그래밍 언어,C,C언어 프로그래밍 (개정판),"3,150","19,000",윤상균 저 | 홍릉과학출판사 | 2006년 09월,http://www.yes24.com/Product/Goods/2297170
169,프로그래밍 언어,파이썬,파이썬으로 만드는 인공지능,"3,252","31,000","오일석,이진선 저 | 한빛아카데미 | 2021년 01월",http://www.yes24.com/Product/Goods/96969993
170,인터넷 비즈니스,인터넷 마케팅,그로스 해킹,"8,841","13,500",양승화 저 | 위키북스 | 2021년 01월,http://www.yes24.com/Product/Goods/96576416
171,인터넷 비즈니스,쇼핑몰/창업,이렇게 했더니 인스타마켓으로 6억 벌었어요!,"12,327","13,500",황지원 저 | 앤써북 | 2020년 12월,http://www.yes24.com/Product/Goods/96182445
172,3-4학년,3-4학년 학습,초등 코딩 엔트리 무작정 따라하기,"20,838","14,400","곽혜미,에이럭스 코딩교육연구소 글 | 길벗 | 2019년 09월",http://www.yes24.com/Product/Goods/78899920
173,컴퓨터 공학,소프트웨어 공학,매트랩의 정석,"5,292","26,000","Amos Gilat 저 / 부광석,박희재,곽근창 공역 | 인피니티북스 | 2016년 08월",http://www.yes24.com/Product/Goods/30709896
174,컴퓨터 공학,자료구조/알고리즘,윤성우의 열혈 자료구조,"12,822","24,300",윤성우 저 | 오렌지미디어 | 2012년 01월,http://www.yes24.com/Product/Goods/6214396
175,프로그래밍 언어,C,C 언어 스케치,"4,434","23,000","강환수,이동규,최재승 공저 | 인피니티북스 | 2011년 07월",http://www.yes24.com/Product/Goods/5374123
176,OS/데이터베이스,클라우드/빅데이터,모두의 데이터 분석 with 파이썬,"21,957","16,200","송석리,이현아 저 | 길벗 | 2019년 04월",http://www.yes24.com/Product/Goods/72227684
177,컴퓨터 공학,마이크로 프로세서,한번에 이해되는 아두이노,"3,048","25,000","심재창,정윤주,고주영,이영학 저 | 인피니티북스 | 2020년 07월",http://www.yes24.com/Product/Goods/91109685
178,네트워크/해킹/보안,네트워크 일반,네트워크 개론,"5,754","25,000",진혜진 저 | 한빛아카데미 | 2019년 07월,http://www.yes24.com/Product/Goods/76073424
179,웹사이트,HTML/JavaScript/CSS/jQuery,HTML5 + CSS3 + JavaScript로 배우는 웹프로그래밍 기초 ,"3,906","28,000",천인국 저 | 인피니티북스 | 2013년 12월,http://www.yes24.com/Product/Goods/11731716
180,게임,게임 개발,유니티 교과서,"3,552","25,200","기타무라 마나미 저/김은철,유세라 역 | 길벗 | 2021년 01월",http://www.yes24.com/Product/Goods/97155864
181,네트워크/해킹/보안,보안/해킹,인터넷 해킹과 보안,"5,106","25,000",김경곤 저 | 한빛아카데미 | 2017년 06월,http://www.yes24.com/Product/Goods/43283975
182,프로그래밍 언어,C++,C++ 하이킹,"4,032","25,000","성윤정,김태은 저 | 한빛아카데미 | 2013년 06월",http://www.yes24.com/Product/Goods/9116229
183,컴퓨터 공학,컴퓨터 교육,6개월 치 업무를 하루 만에 끝내는 업무 자동화,"7,692","25,200",반병현 저 | 생능출판사 | 2020년 12월,http://www.yes24.com/Product/Goods/96360166
184,컴퓨터 입문/활용,어른을 위한 컴퓨터,Understanding of Computers 컴퓨터의 이해  ,"1,980","25,000","김명주,양회석,이낙선 공저 | 이한미디어 | 2021년 03월",http://www.yes24.com/Product/Goods/97664805
185,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,초융합 시대의 멀티미디어와 콘텐츠,"2,484","29,000","김용태,박길철 저 | 한빛아카데미 | 2021년 01월",http://www.yes24.com/Product/Goods/96565107
186,프로그래밍 언어,파이썬,파이썬 알고리즘 인터뷰,"26,235","34,200",박상길 저/정진호 그림 | 책만 | 2020년 07월,http://www.yes24.com/Product/Goods/91084402
187,프로그래밍 언어,파이썬,파이썬 연습,"3,168","26,000","김기용,성동수 저 | 그린 (윤덕우) | 2020년 02월",http://www.yes24.com/Product/Goods/89510536
188,오피스 활용,한글,윈도우 10+엑셀&파워포인트&워드 2019+한글 무작정 따라하기,"22,809","18,000","박은진,박미정,고경희 저 | 길벗 | 2019년 03월",http://www.yes24.com/Product/Goods/71829025
189,컴퓨터 공학,컴퓨터 교육,정보·응용·원리와 함께하는 이산수학,"3,678","19,000",함채원 저 | 성원콘텐츠 | 2015년 07월,http://www.yes24.com/Product/Goods/19501048
190,OS/데이터베이스,클라우드/빅데이터,빅데이터 분석의 첫걸음 R코딩,"5,310","30,000","장용식,최진호 저 | 생능출판사 | 2020년 04월",http://www.yes24.com/Product/Goods/89906843
191,컴퓨터 공학,컴퓨터 교육,4차 산업혁명 기반 기술의 이해,"4,932","22,000","김미혜,길준민,김대학,김병창,변태영,설진현 저 | 연두에디션 | 2019년 12월",http://www.yes24.com/Product/Goods/88319082
192,컴퓨터 입문/활용,어른을 위한 컴퓨터,된다! 7일 실무 엑셀,"25,023","18,000",한정희 저 | 이지스퍼블리싱 | 2019년 07월,http://www.yes24.com/Product/Goods/76182394
193,네트워크/해킹/보안,보안/해킹,네트워크 해킹과 보안 ,"6,468","26,000",양대일 저 | 한빛아카데미 | 2016년 12월,http://www.yes24.com/Product/Goods/35013605
194,프로그래밍 언어,파이썬,Python으로 배우는 문제해결과 인공지능,"2,064","23,000","김현정,오경선 저 | 인피니티북스 | 2021년 02월",http://www.yes24.com/Product/Goods/97702064
195,컴퓨터 공학,컴퓨터 교육,데이터 과학을 위한 기초수학 with 파이썬,"2,676","24,700",이병준 저 | 한빛아카데미 | 2021년 01월,http://www.yes24.com/Product/Goods/96193172
196,프로그래밍 언어,JavaScript/CGI,모던 자바스크립트 Deep Dive,"11,970","40,500",이웅모 저 | 위키북스 | 2020년 09월,http://www.yes24.com/Product/Goods/92742567
197,컴퓨터 공학,컴퓨터 교육,혼자 공부하는 첫 프로그래밍 with 파이썬 ,"12,822","15,300",문현일 저 | 한빛미디어 | 2020년 06월,http://www.yes24.com/Product/Goods/90617738
198,OS/데이터베이스,리눅스,CentOS 리눅스,"3,504","32,000",이종원 저 | 한빛아카데미 | 2020년 05월,http://www.yes24.com/Product/Goods/90433544
199,프로그래밍 언어,PHP,PHP 프로그래밍 입문,"4,878","25,000",황재호 저 | 한빛아카데미 | 2019년 05월,http://www.yes24.com/Product/Goods/73374769
200,컴퓨터 공학,자료구조/알고리즘,Do it! 자료구조와 함께 배우는 알고리즘 입문 C 언어 편,"11,442","19,800",시바타 보요 저/강민 역 | 이지스퍼블리싱 | 2017년 12월,http://www.yes24.com/Product/Goods/57798536
201,프로그래밍 언어,C++,어서와 C++는 처음이지!,"4,440","30,000",천인국 저 | 인피니티북스 | 2018년 01월,http://www.yes24.com/Product/Goods/56842559
202,프로그래밍 언어,파이썬,창의적 프로그래밍을 위한 파이썬,"4,134","23,000",한혁수 저 | 생능출판사 | 2016년 08월,http://www.yes24.com/Product/Goods/30963475
203,프로그래밍 언어,파이썬,케라스 창시자에게 배우는 딥러닝,"12,747","29,700",프랑소와 숄레 저/박해선 역 | 길벗 | 2018년 10월,http://www.yes24.com/Product/Goods/65050162
204,컴퓨터 공학,소프트웨어 공학,클린 아키텍처,"26,394","26,100",로버트 C. 마틴 저/송준이 역 | 인사이트(insight) | 2019년 08월,http://www.yes24.com/Product/Goods/77283734
205,OS/데이터베이스,클라우드/빅데이터,파이썬 라이브러리를 활용한 데이터 분석,"13,092","31,500",웨스 맥키니 저/김영근 역 | 한빛미디어 | 2019년 05월,http://www.yes24.com/Product/Goods/73268296
206,컴퓨터 입문/활용,어린이 컴퓨터,모두의 파이썬,"16,491","10,800",이승찬 저 | 길벗 | 2018년 10월,http://www.yes24.com/Product/Goods/66531799
207,OS/데이터베이스,클라우드/빅데이터,데이터 중심 애플리케이션 설계,"7,725","32,400","마틴 클레프만 저/정재부,김영준,이도경 역 | 위키북스 | 2018년 04월",http://www.yes24.com/Product/Goods/59566585
208,오피스 활용,프레젠테이션,고소한 DIAT 프리젠테이션 파워포인트 2010,"5,337","12,600",해람북스 기획팀 저 | 해람북스 | 2017년 09월,http://www.yes24.com/Product/Goods/55981902
209,컴퓨터 공학,소프트웨어 공학,문제해결과 컴퓨팅 사고를 위한 파이썬,"3,600","12,000",천인국 저 | 인피니티북스 | 2017년 08월,http://www.yes24.com/Product/Goods/46176430
210,웹사이트,HTML/JavaScript/CSS/jQuery,HTML5 웹 프로그래밍 입문,"3,354","24,000","임순범,박희민 공저 | 생능출판사 | 2016년 08월",http://www.yes24.com/Product/Goods/30871566
211,공학계열,컴퓨터공학,파이썬 ,"5,478","22,000",우재남 저 | 한빛아카데미 | 2016년 07월,http://www.yes24.com/Product/Goods/30075248
212,컴퓨터 입문/활용,어른을 위한 컴퓨터,난생처음 R 코딩 & 데이터 분석,"2,310","25,000","오세종,신현석 저 | 한빛아카데미 | 2021년 01월",http://www.yes24.com/Product/Goods/96001859
213,컴퓨터 입문/활용,어린이 컴퓨터,우당탕탕 파워포인트 2016으로 발표하기,"6,969","10,800",교재개발팀 저 | 마린북스 | 2020년 11월,http://www.yes24.com/Product/Goods/94865289
214,컴퓨터 공학,운영체제 일반,운영체제,"3,426","24,000","박규석,배인한 저 | 생능출판사 | 2020년 06월",http://www.yes24.com/Product/Goods/90879093
215,프로그래밍 언어,파이썬,파이썬으로 쉽게 풀어쓴 자료구조,"4,566","27,000","최영규,천인국 저 | 생능출판사 | 2020년 02월",http://www.yes24.com/Product/Goods/89141599
216,프로그래밍 언어,파이썬,컴퓨팅 사고와 함께하는 파이썬 기초부터 인공지능 응용까지,"4,200","24,000","김성백,김철민,박찬정 저 | 연두에디션 | 2019년 12월",http://www.yes24.com/Product/Goods/86544334
217,프로그래밍 언어,파이썬,파이썬으로 배우는 누구나 코딩,"3,762","25,000","강환수,신용현 공저 | 홍릉과학출판사 | 2019년 08월",http://www.yes24.com/Product/Goods/78495227
218,프로그래밍 언어,파이썬,파이썬 코딩 도장,"10,485","22,500",남재윤 저 | 길벗 | 2018년 11월,http://www.yes24.com/Product/Goods/66758183
219,웹사이트,블로그/홈페이지 만들기,된다! 네이버 블로그 & 포스트,"38,115","13,500",황윤정 저 | 이지스퍼블리싱 | 2020년 03월,http://www.yes24.com/Product/Goods/89593210
220,프로그래밍 언어,프로그래밍 교육,R로 쉽게 통계 배우기,"2,640","23,000",한혁수 저 | 생능출판사 | 2020년 02월,http://www.yes24.com/Product/Goods/89400822
221,오피스 활용,MS Excel(엑셀),엑셀로 배우는 데이터 분석,"3,504","21,000",박주미 저 | 한빛아카데미 | 2020년 01월,http://www.yes24.com/Product/Goods/85930697
222,컴퓨터 공학,자료구조/알고리즘,인공지능을 위한 수학,"12,792","22,500","이시카와 아키히코 저/신상재,이진희 역 | 프리렉 | 2018년 11월",http://www.yes24.com/Product/Goods/66913718
223,오피스 활용,MS Excel(엑셀),MOS 2016 엑셀 Expert,"4,578","12,600","오해강,김경희 저 | 한빛아카데미 | 2017년 09월",http://www.yes24.com/Product/Goods/46659536
224,3-4학년,3-4학년 그림/동화책,코딩과학동화 팜 3,"10,875","10,800",홍지연 글/지문 그림 | 길벗 | 2020년 12월,http://www.yes24.com/Product/Goods/96378869
225,웹사이트,UI/UX,처음 만나는 피그마,"5,526","21,600",송아미 저 | 인사이트(insight) | 2020년 12월,http://www.yes24.com/Product/Goods/95887435
